study_name,dataset_name,variable_name,label,label_de,concept_name,questionnaire,question,item,description,description_de,description_long
twinlife,za6701_person_v3-0-0,aas0100s,,Ausserschulische Aktivitaeten Geschwister: Hausaufgabenbetreuung,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,1.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0100t,,Ausserschulische Aktivitaeten Z1: Hausaufgabenbetreuung,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,1.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0100u,,Ausserschulische Aktivitaeten Z2: Hausaufgabenbetreuung,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,1.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0200s,,Ausserschulische Aktivitaeten Geschwister: Foerdergruppen,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,2.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0200t,,Ausserschulische Aktivitaeten Z1: Foerdergruppen,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,2.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0200u,,Ausserschulische Aktivitaeten Z2: Foerdergruppen,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,2.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0300s,,Ausserschulische Aktivitaeten Geschwister: Fachbezogenes Lernangebot,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,3.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0300t,,Ausserschulische Aktivitaeten Z1: Fachbezogenes Lernangebot,,twinlife-2014-F2F_Modul6_Betreuung,aas0100t,3.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0300u,,Ausserschulische Aktivitaeten Z2: Fachbezogenes Lernangebot,,twinlife-2014-F2F_Modul6_Betreuung,aas0100u,3.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
twinlife,za6701_person_v3-0-0,aas0400s,,Ausserschulische Aktivitaeten Geschwister: AGs,,twinlife-2014-F2F_Modul6_Betreuung,aas0100s,4.0,,Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf,
